title,author,date,views,likes,link
A Cleaner World Could Start in a Rice Field,Jim Whitaker and Jessica Whitaker Allen,October 2023,32230,623,https://www.youtube.com/watch?v=w7n1oYtMdEY
"Caregiving Is Real Work — Let’s Treat It That Way | The Way We Work, a TED series",Unknown,October 2023,87781,1945,https://www.youtube.com/watch?v=XezfOVE9RFM
The Ordinary People Doing Extraordinary Things in Ukraine,Oleksandra Matviichuk,October 2023,40005,2139,https://www.youtube.com/watch?v=lpCPRE3oSTE
Let’s Reframe Cancel Culture,Sarah Jones,October 2023,45390,1001,https://www.youtube.com/watch?v=H8kr_V3fEGA
The Joy of Learning Random Things on Wikipedia,Annie Rauwerda,October 2023,77367,2331,https://www.youtube.com/watch?v=WCmeOccXRq8
Unions for Climate Action!,Payton M. Wilkins,October 2023,26237,484,https://www.youtube.com/watch?v=HEkmWdapz4c
"How Rest Can Make You Better at Your Job | The Way We Work, a TED series",Unknown,October 2023,128667,3292,https://www.youtube.com/watch?v=rXxUCeRVma4
"What Does ""Wealth"" Mean to You?",Aisha Nyandoro,October 2023,57164,1497,https://www.youtube.com/watch?v=tPlQGy-9hSI
We Actually Have a Shot at Stopping the Climate Crisis,Asmeret Asefaw Berhe,October 2023,35342,741,https://www.youtube.com/watch?v=RB0zvhRZu-0
"""Miles from Any Shoreline""",Sarah Kay,October 2023,43959,1175,https://www.youtube.com/watch?v=NRv7r5aKgOc
Work Has Changed. Why Haven’t Resumes?,Nicos Marcou,October 2023,55926,1357,https://www.youtube.com/watch?v=WMtyJw4NED8
"Lessons from My Father, Alexey Navalny",Dasha Navalnaya,October 2023,479966,21944,https://www.youtube.com/watch?v=l4Lq7gaKW4A
The Tech We Need to Fight Workplace Ageism,Piyachart Phiromswad,October 2023,30606,598,https://www.youtube.com/watch?v=B8dBA3klR0o
3 Practices for Wisdom and Wholeness,Krista Tippett,October 2023,75009,1378,https://www.youtube.com/watch?v=McX2ZovIrCg
"3 Ways to Better Connect with Your Coworkers | The Way We Work, a TED series",Unknown,October 2023,102976,2214,https://www.youtube.com/watch?v=zgtD2Cerots
The Israel-Hamas War — and What It Means for the World,Ian Bremmer,October 2023,1807536,26997,https://www.youtube.com/watch?v=wQmBsbt9blg
How to Fix Fashion and Protect the Planet,Amy Powney,October 2023,38153,955,https://www.youtube.com/watch?v=xnPaaxytfGs
How Business Can Drive Solutions to Social Problems,Carlos Rodríguez-Pastor,October 2023,59134,1135,https://www.youtube.com/watch?v=e1AibqnDvEk
The Encyclopedia of Invisibility — A Home for Lost Stories,Tavares Strachan,October 2023,62448,947,https://www.youtube.com/watch?v=yRWf28j7yVQ
10 Lessons I Learned From Being a Nerd,Jordan Dinwiddie,October 2023,46138,1205,https://www.youtube.com/watch?v=xzSpuLJoEes
The Truth About Human Population Decline,Jennifer D. Sciubba,October 2023,554451,11896,https://www.youtube.com/watch?v=PImDVT8fb-I
"How to Build a Freelance Career That Works for You | The Way We Work, a TED series",Unknown,October 2023,123652,2493,https://www.youtube.com/watch?v=7vtlMRV1sxY
This Country Runs on 98 Percent Renewable Electricity,Ramón Méndez Galain,October 2023,188047,5196,https://www.youtube.com/watch?v=7_3XJhFBvEk
The World’s Rarest Diseases — And How They Impact Everyone,Anna Greka,September 2023,74567,1712,https://www.youtube.com/watch?v=n0J1zCHURsQ
Why I Gave My Teenage Daughter a Vibrator,Robin Buckley,September 2023,111255,3422,https://www.youtube.com/watch?v=h1yJYnCbNHM
CRISPR's Next Advance Is Bigger Than You Think,Jennifer Doudna,September 2023,746934,17413,https://www.youtube.com/watch?v=HANo__Z8K6s
"4 Tips to Future-Proof Your Career | The Way We Work, a TED series",Unknown,September 2023,84044,2725,https://www.youtube.com/watch?v=b7eMnAn_WhI
How I Found Myself — By Impersonating Other People,Melissa Villaseñor,September 2023,180515,5771,https://www.youtube.com/watch?v=JFjv971_NZM
Are We the Last Generation — or the First Sustainable One?,Hannah Ritchie,September 2023,127077,3358,https://www.youtube.com/watch?v=Kl3VVrggKz4
The Simple Solution to Fast Fashion,Josephine Philips,September 2023,107005,3347,https://www.youtube.com/watch?v=Bh8dnw67rE0
"The Secret to Successfully Pitching an Idea | The Way We Work, a TED series",Unknown,September 2023,193504,4986,https://www.youtube.com/watch?v=l0hVIH3EnlQ
Can AI Help Solve the Climate Crisis?,Sims Witherspoon,September 2023,66101,1490,https://www.youtube.com/watch?v=RNhbqQefPSg
How to Supercharge Renewables and Energize the World,Rebecca Collyer,September 2023,29451,505,https://www.youtube.com/watch?v=RX8jJ9dfMuQ
An Economy Powered by Sun and Wind — It’s Almost Here,Kala Constantino,September 2023,25068,549,https://www.youtube.com/watch?v=YOHpH4ZExWQ
How to Solve the World’s Biggest Problems,Natalie Cargill,September 2023,50370,1339,https://www.youtube.com/watch?v=k7P9v9NB7fU
An Extreme Weather Report From America’s Weatherman,Al Roker,September 2023,52943,1655,https://www.youtube.com/watch?v=dz7ccdJ1JfU
Can the US and China Take On Climate Change Together?,Changhua Wu,September 2023,41123,780,https://www.youtube.com/watch?v=07biEb3rCa0
The Single Most Important Parenting Strategy,Becky Kennedy,September 2023,1761080,39961,https://www.youtube.com/watch?v=PHpPtdk9rco
Does More Freedom at Work Mean More Fulfillment?,Sarah Aviram,September 2023,39062,808,https://www.youtube.com/watch?v=cCGoITBH2IU
Birds Aren’t Real? How a Conspiracy Takes Flight,Peter McIndoe,September 2023,1221801,37745,https://www.youtube.com/watch?v=3VEkzweBJPM
"How to Succeed in Your New Job | The Way We Work, a TED series",Unknown,September 2023,117423,3284,https://www.youtube.com/watch?v=WgR6mUSsEig
Our Creative Relationship With AI Is Just Beginning,K Allado-McDowell,September 2023,34593,727,https://www.youtube.com/watch?v=gY5GA_L9NXM
How to Take the BS Out of Business Speak,Bob Wiltfong,September 2023,63045,1324,https://www.youtube.com/watch?v=41fjuqBaUt4
"Why You Should Stop Setting Goals (Yes, Really)",Emmanuel Acho,September 2023,130408,3512,https://www.youtube.com/watch?v=AA4N5ZFefqs
How to Hack Your Brain When You're in Pain,Amy Baxter,September 2023,338476,12249,https://www.youtube.com/watch?v=5SpaXqAQ4Wo
How “Digital Twins” Could Help Us Predict the Future,Karen Willcox,September 2023,112462,2163,https://www.youtube.com/watch?v=r2_VWdjxchY
How Labor Unions Create Worker Power,How to Be a Better Human,September 2023,27594,520,https://www.youtube.com/watch?v=oCgewIIKbSA
The AI-Powered Tools Supercharging Your Imagination,Bilawal Sidhu,September 2023,69616,1632,https://www.youtube.com/watch?v=eZsVDMsBTCQ
Why Rivals Are Working Together to Transform Shipping,Bo Cerup-Simonsen,August 2023,30874,489,https://www.youtube.com/watch?v=mvRoOyY40yI
The First-Ever Cargo Ship Powered By Green Fuel,Morten Bo Christiansen,August 2023,30332,611,https://www.youtube.com/watch?v=MeSJjSJB8hs
"The Dream of Digital Ownership, Powered by the Metaverse",Yat Siu,August 2023,780699,3325,https://www.youtube.com/watch?v=IPvR43dRmRY
"The ""Adjacent Possible"" – and How It Explains Human Innovation",Stuart Kauffman,August 2023,45572,937,https://www.youtube.com/watch?v=nEtATZePGmg
How AI Art Could Enhance Humanity’s Collective Memory,Refik Anadol,August 2023,82663,1861,https://www.youtube.com/watch?v=iz7diOuaTos
What’s It like to Be a Giant Sequoia Tree?,Ersin Han Ersin,August 2023,36327,886,https://www.youtube.com/watch?v=Vue9SlKTaTg
The Molecular Love Story That Could Help Power the World,Olivia Breese,August 2023,54802,936,https://www.youtube.com/watch?v=24wBKuU2rfE
How to Meet Your Child's Difficult Behavior with Compassion,Yvonne Newbold,August 2023,61216,1441,https://www.youtube.com/watch?v=b2tcLJWNTWM
The Climate Crisis Is Expensive – Here’s Who Should Pay for It,Avinash Persaud,August 2023,67177,1303,https://www.youtube.com/watch?v=8MyHLz6Spoc
Why Real Change Is About More Than Just Going Viral,Taylor Cassidy,August 2023,39029,799,https://www.youtube.com/watch?v=nh4N5GBB390
A Mysterious Design That Appears Across Millennia,Terry Moore,August 2023,2476089,49005,https://www.youtube.com/watch?v=XqUOgqlZ8bc
Is the US Headed Towards Another Civil War?,Barbara F. Walter,August 2023,887536,25499,https://www.youtube.com/watch?v=Yilgr2SJ3xQ
"""Say What!"" / ""Nervous""",Tolliver,August 2023,29436,338,https://www.youtube.com/watch?v=Ay92O1lUfqI
"In the Age of AI Art, What Can Originality Look Like?",Eileen Isagon Skyers,August 2023,74066,1471,https://www.youtube.com/watch?v=uA70ZGCC1f4
How Targeted Ads Might Just Save Your Life,Sandersan Onie,August 2023,31187,931,https://www.youtube.com/watch?v=vi1Cun6mnVM
A Case for Color Blindness,Coleman Hughes,August 2023,383310,30882,https://www.youtube.com/watch?v=QxB3b7fxMEA
The Beauty of Building With Mud and Trash,Vinu Daniel,August 2023,92205,3118,https://www.youtube.com/watch?v=EumE_9qkXI8
What the Fossil Fuel Industry Doesn't Want You To Know,Al Gore,August 2023,744959,25058,https://www.youtube.com/watch?v=xgZC6da4mco
The Magic of a Creative Career,Michael Sheen,August 2023,143147,7147,https://www.youtube.com/watch?v=cEG0Tp-iLuo
Climate Action Is on the Cusp of Exponential Growth,Simon Stiell,August 2023,45425,936,https://www.youtube.com/watch?v=kioUmpJQbKM
Why I Built My Own Time Machine,Lucas Rizzotto,August 2023,40779,1327,https://www.youtube.com/watch?v=RkoaaVo_RgU
The Power of an Image — and the Mind behind It,Misan Harriman,August 2023,45665,1201,https://www.youtube.com/watch?v=gyCxZaBboDU
Blindness Isn't a Tragic Binary — It's a Rich Spectrum,Andrew Leland,July 2023,41083,1238,https://www.youtube.com/watch?v=8BkSaau8axA
Can Global Food Companies Make the Shift to Regenerative Agriculture?,Steve Presley,July 2023,38438,559,https://www.youtube.com/watch?v=jxy4j0OndPM
How to Make Sure Materials Get Reused — Again and Again,Garry Cooper,July 2023,40698,932,https://www.youtube.com/watch?v=vvIP7vabO4c
Why Change Is So Scary — and How to Unlock Its Potential,Maya Shankar,July 2023,367212,8422,https://www.youtube.com/watch?v=Tt0arZN6EBM
The Tree-Growing Movement Restoring Africa’s Vital Landscapes,Wanjira Mathai,July 2023,30821,719,https://www.youtube.com/watch?v=0VP-CjYHqJA
The Growing Megafire Crisis — and How to Contain It,George T. Whitesides,July 2023,56804,1074,https://www.youtube.com/watch?v=M66jkJMH3DI
How to Be a Leader for Climate Justice,David Lammy and Justin J. Pearson,July 2023,26745,462,https://www.youtube.com/watch?v=qcmNFKr-Qyk
Is Remote Work Better Than Being in the Office? It's Complicated,Mark Mortensen,July 2023,115276,1712,https://www.youtube.com/watch?v=8cF442d-EdQ
Could an Orca Give a TED Talk?,Karen Bakker,July 2023,111808,3058,https://www.youtube.com/watch?v=FvchLmGiXfY
Why Are We Making Pizza Boxes Out of Endangered Trees?,Nicole Rycroft,July 2023,47646,932,https://www.youtube.com/watch?v=PJkoLzVNAEY
Detroit's Climate Crisis — and How to Build a Resilient Future Everywhere,Anika Goss,July 2023,38492,664,https://www.youtube.com/watch?v=T8qVFOK_rK8
The Renewable Energy Revolution Happening in Ukraine,Maxim Timchenko,July 2023,54755,1315,https://www.youtube.com/watch?v=jLkRvdPliaE
Will Superintelligent AI End the World?,Eliezer Yudkowsky,July 2023,262753,6142,https://www.youtube.com/watch?v=Yd0yQ9yxSYY
"War, AI and the New Global Arms Race",Alexandr Wang,July 2023,182850,4613,https://www.youtube.com/watch?v=EpipswT-LuE
School Is Just the Start. Here's How to Help Girls Succeed for Life,Angeline Murimirwa,July 2023,60906,1511,https://www.youtube.com/watch?v=4IJHuTMLa7E
Why Thinking About Death Helps You Live a Better Life,Alua Arthur,July 2023,173783,6783,https://www.youtube.com/watch?v=IkeuKPZxEhM
How Life on Earth Adapts to You and Me,Shane Campbell-Staton,July 2023,48523,1319,https://www.youtube.com/watch?v=zVL22EELNng
How Your Company Can Gain a Global Talent Advantage,Johann Daniel Harnoss,July 2023,37249,669,https://www.youtube.com/watch?v=U-BHz_UIOfs
How to Unleash Your Inner Maximalist Through Costume,Machine Dazzle,July 2023,28642,450,https://www.youtube.com/watch?v=8eYoUNEkijk
"Why Iranians Are Cutting Their Hair for ""Woman, Life, Freedom""",Sahar Zand,June 2023,58452,1889,https://www.youtube.com/watch?v=sbZWB2nAEAE
A Powerful New Neurotech Tool for Augmenting Your Mind,Conor Russomanno,June 2023,349394,10373,https://www.youtube.com/watch?v=ZkWJem3LY5E
How to Fund Real Change in Your Community,Rebecca Darwent,June 2023,37608,766,https://www.youtube.com/watch?v=WFP9IbXYM1k
"Kung Fu, Star Trek and the Many Paths to Spirituality",Rainn Wilson,June 2023,36965,858,https://www.youtube.com/watch?v=vBSP-wcXCB0
A 3-Step Guide to Believing in Yourself,Sheryl Lee Ralph,June 2023,839533,40867,https://www.youtube.com/watch?v=zy2Zj8yIe6c
Why Are We So Bad at Reporting Good News?,Angus Hervey,June 2023,76820,2305,https://www.youtube.com/watch?v=x5mAqRx62rk
How to Weave a Cultural Legacy Through Storytelling,Cohen Bradley,June 2023,28380,532,https://www.youtube.com/watch?v=pdh3KbiREHM
How to Solve the Education Crisis for Boys and Men,Richard Reeves,June 2023,109316,3583,https://www.youtube.com/watch?v=fXsOlAYvgh0
"Can We Recreate the Voice of a 3,000-Year-Old Mummy?",David M. Howard,June 2023,37644,655,https://www.youtube.com/watch?v=zeVGax3IIwM
"""STILL C U"" / ""Figures""",Jessie Reyez,June 2023,73106,1766,https://www.youtube.com/watch?v=2FFS-RCaXNQ
The Next Global Superpower Isn't Who You Think,Ian Bremmer,June 2023,9393581,146383,https://www.youtube.com/watch?v=uiUPD-z9DTg
Why Is It So Hard to Get Effective Birth Control in the US?,Mark Edwards,June 2023,40823,901,https://www.youtube.com/watch?v=cMOD8LBxaT0
The Natural Building Blocks of Sustainable Architecture,Michael Green,June 2023,85760,3032,https://www.youtube.com/watch?v=KAiWdme6EEM
How to Design a School for the Future,Punya Mishra,June 2023,64834,1475,https://www.youtube.com/watch?v=YYRI164Y-_M
The Outlaws of the Ocean — and How We're Reeling Them In,Tony Long,June 2023,39981,858,https://www.youtube.com/watch?v=VAQMsprq-Ps
"Nature, Art and Magical Blocks of Flying Concrete",Lonneke Gordijn,June 2023,236987,3617,https://www.youtube.com/watch?v=irXSdueKyOs
How Wireless Energy From Space Could Power Everything,Ali Hajimiri,June 2023,238341,6405,https://www.youtube.com/watch?v=RxrB7PDLJ18
The Dinosaur Detectives of Real-Life Jurassic Parks,Martin Lockley,June 2023,34297,854,https://www.youtube.com/watch?v=JSiRpwZbZ7Q
The Poetry of Everyday Language,Julián Delgado Lopera,June 2023,57099,1186,https://www.youtube.com/watch?v=n3WGhXKP8So
5 Steps to Fix Any Problem at Work,Anne Morriss,May 2023,312431,4353,https://www.youtube.com/watch?v=V7pf3oT2_dE
Your Right to Mental Privacy in the Age of Brain-Sensing Tech,Nita Farahany,May 2023,57995,1346,https://www.youtube.com/watch?v=k5jEkTm5GIU
Are Life-Saving Medicines Hiding in the World’s Coldest Places?,Normand Voyer,May 2023,48837,1006,https://www.youtube.com/watch?v=N9qU9XiU9jY
"What Makes a ""Good College"" — and Why It Matters",Cecilia M. Orphan,May 2023,79840,2236,https://www.youtube.com/watch?v=2cKZM8lT-qo
A Foster Care System Where Every Child Has a Loving Home,Sixto Cancel,May 2023,35419,948,https://www.youtube.com/watch?v=ZPz_-wAulMU
Is Someone You Love Suffering in Silence? Here's What To Do,Gus Worland,May 2023,46904,1880,https://www.youtube.com/watch?v=6483lpvZRJ4
"The Timeless, Ancient Language of Art",Wangechi Mutu,May 2023,61270,1590,https://www.youtube.com/watch?v=rAhyvSk9cF0
The Incredible Creativity of Deepfakes — and the Worrying Future of AI,Tom Graham,May 2023,110707,2034,https://www.youtube.com/watch?v=SHSmo72oVao
3 Ways Your Money Can Fight Climate Change,Veronica Chau,May 2023,68245,1125,https://www.youtube.com/watch?v=XbLDeWYBZw4
Lessons from Losing My Mind,Andy Dunn,May 2023,117258,2818,https://www.youtube.com/watch?v=5jnPjkdBlUE
Does Working Hard Really Make You a Good Person?,Azim Shariff,May 2023,407570,9372,https://www.youtube.com/watch?v=z_ca983qJcI
What the World Can Learn From China’s Innovation Playbook,Keyu Jin,May 2023,312551,7585,https://www.youtube.com/watch?v=gub38Cd4E0g
The Urgent Risks of Runaway AI — and What to Do about Them,Gary Marcus,May 2023,205199,3797,https://www.youtube.com/watch?v=JL5OFXeXenA
4 Ways to Have Healthy Conversations About Race,Afrika Afeni Mills,May 2023,52492,872,https://www.youtube.com/watch?v=P5Tq1MK0ad8
"How ""Second Chance"" Laws Could Transform the US Justice System",Sheena Meade,May 2023,32970,843,https://www.youtube.com/watch?v=StzBIF5ahKM
The Disappearing Computer — and a World Where You Can Take AI Everywhere,Imran Chaudhri,May 2023,1914988,39210,https://www.youtube.com/watch?v=gMsQO5u7-NQ
How Poetry Unlocked My Superpowers,Keenan Scott II,May 2023,46446,1246,https://www.youtube.com/watch?v=uDO0POqZEU8
"""Woman, Life, Freedom"" in Iran — and What It Means for the Rest of the World | Golshifteh Farahani",Unknown,May 2023,69393,2213,https://www.youtube.com/watch?v=Nnm1njnBvDA
3 Money Lessons from Infamous Scam Artists,J Mase III,May 2023,61673,1428,https://www.youtube.com/watch?v=gKI0ZA5lSNw
The Story That Shapes Your Relationship with Nature,Damon Gameau,May 2023,54230,1529,https://www.youtube.com/watch?v=nYZSPUi-lgE
"The Rise of the ""Trauma Essay"" in College Applications",Tina Yong,May 2023,973443,36145,https://www.youtube.com/watch?v=MyD0m7JXgjA
How AI Could Save (Not Destroy) Education,Sal Khan,May 2023,1469255,41995,https://www.youtube.com/watch?v=hJP5GqnTrNo
Why AI Is Incredibly Smart and Shockingly Stupid,Yejin Choi,April 2023,388181,9309,https://www.youtube.com/watch?v=SvBR0OGT5VI
How Modern Audiences Can Talk about Aging Art,Margaret Hall,April 2023,26117,448,https://www.youtube.com/watch?v=uH9r3lJmyaM
Pussy Riot's Powerful Message to Vladimir Putin,Nadya Tolokonnikova,April 2023,444980,11095,https://www.youtube.com/watch?v=9HOPw9yM9pc
"Mangroves, Storm Walls and Other Ways to Protect Coasts from Climate Change",Dave Sivaprasad,April 2023,23898,410,https://www.youtube.com/watch?v=9-W8DlzTPzw
"Why Your Life Needs Novelty, No Matter Your Age",Kenneth Chabert,April 2023,64017,1739,https://www.youtube.com/watch?v=qrVHoobmZLw
How to Feng Shui Your Fridge — and Other Happy Climate Hacks,Jiaying Zhao,April 2023,47693,988,https://www.youtube.com/watch?v=lO2A4g9tMJU
TikTok CEO Shou Chew on Its Future — and What Makes Its Algorithm Different | Live at TED2023,Unknown,April 2023,1699149,25842,https://www.youtube.com/watch?v=7zC8-06198g
The Inside Story of ChatGPT’s Astonishing Potential,Greg Brockman,April 2023,1776097,34892,https://www.youtube.com/watch?v=C_78DM8fG6E
"How to Help Employees With Disabilities Thrive | The Way We Work, a TED series",Unknown,April 2023,71849,1317,https://www.youtube.com/watch?v=RoyHvfJowZI
Tom Graham (Metaphysic AI) at TED2023 [Interview Clip],Unknown,April 2023,46036,920,https://www.youtube.com/watch?v=_k-kxGCOI9U
The Dazzling Diversity of African Dance — in 14 Moves,Chinyanta Kabaso,April 2023,68228,1488,https://www.youtube.com/watch?v=wl6DvCBUnfI
What to Do When There's a Polar Bear in Your Backyard,Alysa McCall,April 2023,37738,822,https://www.youtube.com/watch?v=wLszqfNPNBo
Are You an Ethical True Crime Fan? 4 Questions To Ask,Lindsey A. Sherrill,April 2023,38609,668,https://www.youtube.com/watch?v=RIpz9GiEAyc
"4 Ways to Make Hybrid Work Better for Everyone | The Way We Work, a TED series",Unknown,April 2023,67652,1161,https://www.youtube.com/watch?v=40TumEHQk8A
What Will the Dream Car of the Future Be Like?,Alex Koster,April 2023,45749,836,https://www.youtube.com/watch?v=TjNZhdEvVvo
A Faster Way to Get to a Clean Energy Future,Ramez Naam,April 2023,117353,3611,https://www.youtube.com/watch?v=EAU5D8hqIUI
Why Autism Is Often Missed in Women and Girls,Kate Kahle,April 2023,69947,2426,https://www.youtube.com/watch?v=UI6kObHls-4
"5 Steps to Building a Personal Brand You Feel Good About | The Way We Work, a TED series",Unknown,April 2023,265415,6902,https://www.youtube.com/watch?v=ozMCb0wOnMU
"How to Get Inside the ""Brain"" of AI",Alona Fyshe,April 2023,58976,1547,https://www.youtube.com/watch?v=OIcQOfN1qak
Why All Dogs Are Good Dogs,Alexandra Horowitz,March 2023,68293,1845,https://www.youtube.com/watch?v=8HgUHW8IoMc
[Trailer] TED Countdown Dilemma Series: How do we get the world off fossil fuels?,Unknown,March 2023,6652,90,https://www.youtube.com/watch?v=ZUsZ5t1Jnxc
"The Unexpected Key to Boosting Your Productivity | The Way We Work, a TED series",Unknown,March 2023,150742,2786,https://www.youtube.com/watch?v=T4CB5RPbtCk
How Do We Get the World Off Fossil Fuels Quickly and Fairly? | TED Countdown Dilemma Series,Unknown,March 2023,28518,628,https://www.youtube.com/watch?v=WqGNZmUoK-8
How to Keep Your Hometown from Becoming a Ghost Town,John Paget,March 2023,38213,634,https://www.youtube.com/watch?v=xEut3UavWfk
What Happens to Gas Stations When the World Goes Electric?,Emily Grubert,March 2023,44308,921,https://www.youtube.com/watch?v=FQQE3rB8Uc0
"How to Calm Your Anxiety, From a Neuroscientist | The Way We Work, a TED series",Unknown,March 2023,480047,17474,https://www.youtube.com/watch?v=FpiWSFcL3-c
3 Skills Every Middle School Boy Needs,Jerome Hunter,March 2023,44455,1238,https://www.youtube.com/watch?v=xFHIAwdI72Y
The Surprising Psychology Behind Your Urge to Break the Rules,Paul Bloom,March 2023,99321,2441,https://www.youtube.com/watch?v=gdJwW-NhObU
Who Owns the Internet of the Future?,Ordinary Things,March 2023,62861,1662,https://www.youtube.com/watch?v=TOUqiVIuPo0
3 Elements of True Fun — and How to Have More of It,Catherine Price,March 2023,52315,1309,https://www.youtube.com/watch?v=UXElAVBiXXs
"Your 3-Step Guide to Setting Better Boundaries at Work |  The Way We Work, a TED series",Unknown,March 2023,81146,2149,https://www.youtube.com/watch?v=4SCrXqbhmCY
What Will Future Astronauts Eat?,Phnam Bagley,March 2023,26643,683,https://www.youtube.com/watch?v=A0DOlruXVaM
The Clean Energy Hub of the Future,Rebekah Shirley,March 2023,31048,642,https://www.youtube.com/watch?v=g9VFlXF47f0
How Video Games Can Level Up the Way You Learn,Kris Alexander,March 2023,95640,3492,https://www.youtube.com/watch?v=CkFnqGHZ5tA
The Fantastically Weird World of Photosynthetic Sea Slugs,Michael Middlebrooks,March 2023,187935,6745,https://www.youtube.com/watch?v=UVOnUz2BCrA
"How to Be a Team Player — Without Burning Out | The Way We Work, a TED series",Unknown,March 2023,76760,1526,https://www.youtube.com/watch?v=8goi3AD4RWo
What Women Athletes Need to Unlock Their Full Potential,Kate Ackerman,March 2023,35883,583,https://www.youtube.com/watch?v=n-l6qRaT35s
How One Small Idea Led to $1 Million of Paid Water Bills,Tiffani Ashley Bell,March 2023,36513,919,https://www.youtube.com/watch?v=bIBNebXhNuU
What Do Insects Do When Nature Calls?,Saad Bhamla,March 2023,37698,1098,https://www.youtube.com/watch?v=6pGC4j0d1Fc
"Ancient Pompeii’s Hidden Messages, Preserved in Graffiti",Jacqueline DiBiasie-Sammons,March 2023,47920,867,https://www.youtube.com/watch?v=0OuURF5_5Pw
"How to Quit Your Job — Without Ruining Your Career | The Way We Work, a TED series",Unknown,March 2023,109788,2306,https://www.youtube.com/watch?v=Rw7TWQ-Rt2Q
The Surprising Climate Benefits of Sharing Your Stuff,Tessa Clarke,February 2023,40291,870,https://www.youtube.com/watch?v=6DRMrFMNXCc
4 Proven Ways to Kick Your Procrastination Habit,Ayelet Fishbach,February 2023,71952,1625,https://www.youtube.com/watch?v=tB5J9qgM2zI
The Massive Machines Removing Carbon from Earth's Atmosphere,Jan Wurzbacher,February 2023,118722,2777,https://www.youtube.com/watch?v=T6WSy0FdBdU
"The Truth About ""The Zone"" (with Steph Curry) | Good Sport, a TED Audio Collective",Unknown,February 2023,35563,524,https://www.youtube.com/watch?v=7tSP1M052Sg
